hs6,product_label,years_present,avg_RSCA
293292,"1-""1,3-Benzodioxol-5-yl""propan-2-one",10,1.0
293148,"3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide",3,1.0
382713,Mixtures containing carbon tetrachloride,3,1.0
30376,Frozen eels (Anguilla spp.),5,1.0
100190,Wheat and meslin (excluding durum wheat),12,1.0
170111,Raw cane sugar (excluding added flavouring or colouring),12,1.0
481430,"Wallpaper and similar wall coverings of paper, consisting of paper covered, on the face side, ...",5,1.0
540243,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",5,1.0
845940,Boring machines for metals (excluding way-type unit head machines and boring-milling machines),6,1.0
382712,"Mixtures containing hydrobromofluorocarbons ""HBFCs""",3,1.0
30374,"Frozen mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",11,1.0
200980,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",12,1.0
811252,Thallium waste and scrap (excl. ashes and residues containing thallium),11,1.0
600532,"Dyed warp knit fabrics of synthetic fibres ""incl. those made on galloon knitting machines"", ...",6,1.0
251621,"Sandstone, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",3,1.0
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",3,1.0
640191,"Waterproof footwear covering the knee, with outer soles and uppers of rubber or of plastics, ...",4,1.0
291616,Binapacryl (ISO),11,1.0
292030,"Endosulfan ""ISO""",8,1.0
252810,"Sodium borates, natural, and concentrates thereof, whether or not calcined (excluding sodium ...",3,1.0
481840,"Sanitary towels and tampons, napkins and napkin for babies and similar sanitary articles, of ...",12,1.0
30264,"Fresh or chilled mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",7,1.0
120220,"Shelled groundnuts, whether or not broken (excluding roasted or otherwise cooked)",12,1.0
740722,"Bars, rods and profiles of copper-nickel base alloys ""cupro-nickel"" or copper-nickel-zinc base ...",5,1.0
441871,"Flooring panels for mosaic floors, assembled, of wood",7,1.0
620212,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",3,1.0
730421,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excluding ...",6,1.0
