hs6,partner_count,partners
280610,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
280800,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
280920,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281119,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281129,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281290,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281511,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281512,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281610,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281820,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
281830,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
282090,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
282749,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
282751,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
